Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,123.839996,123.839996,120.150002,120.150002,120.150002,0
2010-01-11,119.099998,125.889999,119.099998,124.320000,124.320000,0
2010-01-18,124.279999,124.279999,121.989998,122.879997,122.879997,0
2010-01-25,122.540001,122.540001,117.500000,117.500000,117.500000,0
2010-02-01,119.220001,120.459999,116.019997,118.750000,118.750000,0
2010-02-08,117.680000,120.430000,113.709999,113.709999,113.709999,0
2010-02-15,120.889999,122.559998,118.529999,118.529999,118.529999,0
2010-02-22,121.330002,121.330002,120.129997,120.129997,120.129997,0
2010-03-01,120.800003,120.800003,118.029999,118.029999,118.029999,0
2010-03-08,117.559998,118.959999,116.639999,118.959999,118.959999,0
2010-03-15,120.629997,123.510002,119.660004,121.970001,121.970001,0
2010-03-22,123.629997,123.629997,121.180000,123.139999,123.139999,0
2010-03-29,123.199997,124.029999,123.199997,123.930000,123.930000,0
2010-04-05,123.779999,124.360001,122.669998,124.360001,124.360001,0
2010-04-12,123.160004,131.330002,123.160004,131.330002,131.330002,0
2010-04-19,131.139999,134.190002,126.129997,126.129997,126.129997,0
2010-04-26,124.250000,129.279999,124.250000,125.410004,125.410004,0
2010-05-03,125.349998,125.349998,122.160004,123.860001,123.860001,0
2010-05-10,128.639999,128.639999,124.260002,128.470001,128.470001,0
2010-05-17,128.869995,128.869995,123.360001,125.559998,125.559998,0
2010-05-24,125.000000,125.730003,121.480003,123.129997,123.129997,0
2010-05-31,119.629997,123.830002,119.629997,121.110001,121.110001,0
2010-06-07,119.209999,122.809998,119.209999,122.809998,122.809998,0
2010-06-14,121.690002,124.800003,121.480003,122.980003,122.980003,0
2010-06-21,121.730003,121.730003,119.370003,119.370003,119.370003,0
2010-06-28,120.300003,120.300003,114.650002,114.650002,114.650002,0
2010-07-05,116.010002,117.970001,116.010002,117.970001,117.970001,0
2010-07-12,118.720001,120.070000,118.580002,118.669998,118.669998,0
2010-07-19,118.779999,119.690002,117.290001,119.690002,119.690002,0
2010-07-26,119.290001,121.910004,119.290001,119.529999,119.529999,0
2010-08-02,122.500000,122.500000,119.669998,119.669998,119.669998,0
2010-08-09,123.750000,123.750000,115.180000,115.279999,115.279999,0
2010-08-16,121.099998,121.959999,119.620003,119.620003,119.620003,0
2010-08-23,118.379997,118.379997,115.989998,116.029999,116.029999,0
2010-08-30,115.059998,119.110001,115.019997,119.110001,119.110001,0
2010-09-06,118.730003,121.089996,118.730003,121.089996,121.089996,0
2010-09-13,121.889999,124.900002,119.739998,124.900002,124.900002,0
2010-09-20,124.879997,124.879997,121.570000,123.000000,123.000000,0
2010-09-27,120.209999,121.690002,119.269997,119.610001,119.610001,0
2010-10-04,118.290001,118.290001,116.570000,117.959999,117.959999,0
2010-10-11,115.870003,121.480003,115.870003,121.480003,121.480003,0
2010-10-18,120.570000,120.570000,117.379997,117.379997,117.379997,0
2010-10-25,116.449997,116.970001,116.040001,116.040001,116.040001,0
2010-11-01,116.830002,118.209999,116.139999,116.980003,116.980003,0
2010-11-08,118.269997,123.589996,118.269997,121.720001,121.720001,0
2010-11-15,122.040001,122.040001,120.339996,121.260002,121.260002,0
2010-11-22,122.339996,122.339996,119.019997,119.019997,119.019997,0
2010-11-29,118.540001,120.879997,116.709999,120.419998,120.419998,0
2010-12-06,121.150002,123.930000,118.129997,123.010002,123.010002,0
2010-12-13,120.739998,125.239998,120.739998,125.239998,125.239998,0
